Timestamp,N,P,K,pH,Moisture,Fertile,Timestamp_Display,Predicted_Fertility,Predicted_Fertility_Label,RAG_Issues,RAG_Recommendations,Final_Assessment
2026-01-01 00:00:00,17,45,49,6.79,73,0,"Jan 01, 00:00",0,Not Fertile,Nitrogen (N) is LOW (17/50); Phosphorus (P) is HIGH (45/15); Moisture is HIGH (73/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 01:00:00,33,19,51,7.31,39,1,"Jan 01, 01:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 02:00:00,52,35,31,7.24,52,0,"Jan 01, 02:00",0,Not Fertile,Nitrogen (N) is HIGH (52/20),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 03:00:00,36,30,57,6.47,48,1,"Jan 01, 03:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 04:00:00,42,36,62,6.01,33,0,"Jan 01, 04:00",0,Not Fertile,Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 05:00:00,49,13,22,6.7,77,0,"Jan 01, 05:00",0,Not Fertile,Phosphorus (P) is LOW (13/40); Potassium (K) is LOW (22/60); Moisture is HIGH (77/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 06:00:00,42,36,52,6.75,61,1,"Jan 01, 06:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 07:00:00,29,17,61,7.41,41,0,"Jan 01, 07:00",0,Not Fertile,Potassium (K) is HIGH (61/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 08:00:00,26,14,62,7.12,35,0,"Jan 01, 08:00",0,Not Fertile,Phosphorus (P) is LOW (14/40); Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 09:00:00,34,26,56,6.28,77,0,"Jan 01, 09:00",0,Not Fertile,Moisture is HIGH (77/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
2026-01-01 10:00:00,15,16,55,7.46,72,0,"Jan 01, 10:00",0,Not Fertile,Nitrogen (N) is LOW (15/50); Moisture is HIGH (72/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-01 11:00:00,25,15,62,6.44,30,0,"Jan 01, 11:00",0,Not Fertile,Potassium (K) is HIGH (62/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 12:00:00,30,22,38,6.58,55,1,"Jan 01, 12:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 13:00:00,51,35,52,6.78,70,0,"Jan 01, 13:00",0,Not Fertile,Nitrogen (N) is HIGH (51/20),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 14:00:00,55,32,48,7.8,61,0,"Jan 01, 14:00",0,Not Fertile,Nitrogen (N) is HIGH (55/20); pH is HIGH (7.8/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-01 15:00:00,46,40,22,5.85,47,0,"Jan 01, 15:00",0,Not Fertile,Potassium (K) is LOW (22/60); pH is LOW (5.85/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-01 16:00:00,22,26,65,6.66,45,0,"Jan 01, 16:00",0,Not Fertile,Potassium (K) is HIGH (65/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 17:00:00,29,17,38,7.22,40,1,"Jan 01, 17:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 18:00:00,39,41,22,7.17,37,0,"Jan 01, 18:00",0,Not Fertile,Phosphorus (P) is HIGH (41/15); Potassium (K) is LOW (22/60),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-01 19:00:00,55,32,55,6.44,78,0,"Jan 01, 19:00",0,Not Fertile,Nitrogen (N) is HIGH (55/20); Moisture is HIGH (78/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-01 20:00:00,43,33,34,6.5,70,1,"Jan 01, 20:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-01 21:00:00,23,29,31,7.67,54,0,"Jan 01, 21:00",0,Not Fertile,pH is HIGH (7.67/6.0),Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).,NOT FERTILE - Action needed
2026-01-01 22:00:00,34,35,44,7.67,56,0,"Jan 01, 22:00",0,Not Fertile,pH is HIGH (7.67/6.0),Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).,NOT FERTILE - Action needed
2026-01-01 23:00:00,46,11,40,5.99,59,0,"Jan 01, 23:00",0,Not Fertile,Phosphorus (P) is LOW (11/40); pH is LOW (5.99/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-02 00:00:00,51,30,55,7.7,32,0,"Jan 02, 00:00",0,Not Fertile,Nitrogen (N) is HIGH (51/20); pH is HIGH (7.7/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-02 01:00:00,48,22,43,7.27,75,0,"Jan 02, 01:00",0,Not Fertile,Moisture is HIGH (75/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
2026-01-02 02:00:00,19,30,48,5.84,75,0,"Jan 02, 02:00",0,Not Fertile,Nitrogen (N) is LOW (19/50); pH is LOW (5.84/7.5); Moisture is HIGH (75/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-02 03:00:00,19,41,62,7.64,69,0,"Jan 02, 03:00",0,Not Fertile,Nitrogen (N) is LOW (19/50); Phosphorus (P) is HIGH (41/15); Potassium (K) is HIGH (62/30); pH is HIGH (7.64/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 04:00:00,41,15,30,6.15,64,1,"Jan 02, 04:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-02 05:00:00,49,31,24,6.89,47,0,"Jan 02, 05:00",0,Not Fertile,Potassium (K) is LOW (24/60),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 06:00:00,48,10,46,6.41,44,0,"Jan 02, 06:00",0,Not Fertile,Phosphorus (P) is LOW (10/40),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 07:00:00,51,10,44,6.98,53,0,"Jan 02, 07:00",0,Not Fertile,Nitrogen (N) is HIGH (51/20); Phosphorus (P) is LOW (10/40),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 08:00:00,23,26,47,6.64,76,0,"Jan 02, 08:00",0,Not Fertile,Moisture is HIGH (76/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
2026-01-02 09:00:00,26,27,61,6.13,28,0,"Jan 02, 09:00",0,Not Fertile,Potassium (K) is HIGH (61/30); Moisture is LOW (28/70),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-02 10:00:00,42,10,60,7.55,72,0,"Jan 02, 10:00",0,Not Fertile,Phosphorus (P) is LOW (10/40); pH is HIGH (7.55/6.0); Moisture is HIGH (72/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-02 11:00:00,54,19,40,7.45,72,0,"Jan 02, 11:00",0,Not Fertile,Nitrogen (N) is HIGH (54/20); Moisture is HIGH (72/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-02 12:00:00,33,28,28,7.12,44,0,"Jan 02, 12:00",0,Not Fertile,Potassium (K) is LOW (28/60),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 13:00:00,35,14,32,5.93,52,0,"Jan 02, 13:00",0,Not Fertile,Phosphorus (P) is LOW (14/40); pH is LOW (5.93/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-02 14:00:00,51,10,22,7.12,43,0,"Jan 02, 14:00",0,Not Fertile,Nitrogen (N) is HIGH (51/20); Phosphorus (P) is LOW (10/40); Potassium (K) is LOW (22/60),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 15:00:00,50,31,36,6.05,54,1,"Jan 02, 15:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-02 16:00:00,43,14,30,6.01,73,0,"Jan 02, 16:00",0,Not Fertile,Phosphorus (P) is LOW (14/40); Moisture is HIGH (73/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-02 17:00:00,50,27,43,6.03,35,1,"Jan 02, 17:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-02 18:00:00,32,21,34,7.19,79,0,"Jan 02, 18:00",0,Not Fertile,Moisture is HIGH (79/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
2026-01-02 19:00:00,25,13,53,6.07,79,0,"Jan 02, 19:00",0,Not Fertile,Phosphorus (P) is LOW (13/40); Moisture is HIGH (79/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil moisture optimal range: 30-70% water holding capacity.",NOT FERTILE - Action needed
2026-01-02 20:00:00,48,11,63,7.51,62,0,"Jan 02, 20:00",0,Not Fertile,Phosphorus (P) is LOW (11/40); Potassium (K) is HIGH (63/30); pH is HIGH (7.51/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 21:00:00,34,28,63,7.03,32,0,"Jan 02, 21:00",0,Not Fertile,Potassium (K) is HIGH (63/30),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 22:00:00,55,43,60,6.1,52,0,"Jan 02, 22:00",0,Not Fertile,Nitrogen (N) is HIGH (55/20); Phosphorus (P) is HIGH (43/15),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-02 23:00:00,19,41,44,6.4,34,0,"Jan 02, 23:00",0,Not Fertile,Nitrogen (N) is LOW (19/50); Phosphorus (P) is HIGH (41/15),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 00:00:00,34,10,37,5.94,66,0,"Jan 03, 00:00",0,Not Fertile,Phosphorus (P) is LOW (10/40); pH is LOW (5.94/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; Soil pH affects nutrient availability. Optimal for most crops: 6.0-7.5 (slightly acidic to neutral).",NOT FERTILE - Action needed
2026-01-03 01:00:00,19,36,38,6.81,34,0,"Jan 03, 01:00",0,Not Fertile,Nitrogen (N) is LOW (19/50),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 02:00:00,48,27,31,6.64,67,1,"Jan 03, 02:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-03 03:00:00,55,27,20,7.34,39,0,"Jan 03, 03:00",0,Not Fertile,Nitrogen (N) is HIGH (55/20); Potassium (K) is LOW (20/60),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 04:00:00,40,13,65,7.62,53,0,"Jan 03, 04:00",0,Not Fertile,Phosphorus (P) is LOW (13/40); Potassium (K) is HIGH (65/30); pH is HIGH (7.62/6.0),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 05:00:00,40,14,29,5.88,69,0,"Jan 03, 05:00",0,Not Fertile,Phosphorus (P) is LOW (14/40); Potassium (K) is LOW (29/60); pH is LOW (5.88/7.5),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 06:00:00,19,12,53,6.68,50,0,"Jan 03, 06:00",0,Not Fertile,Nitrogen (N) is LOW (19/50); Phosphorus (P) is LOW (12/40),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 07:00:00,53,16,24,7.04,27,0,"Jan 03, 07:00",0,Not Fertile,Nitrogen (N) is HIGH (53/20); Potassium (K) is LOW (24/60); Moisture is LOW (27/70),"If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).; If nitrogen is low: Apply compost, aged manure, or nitrogen fertilizers (urea, ammonium nitrate).",NOT FERTILE - Action needed
2026-01-03 08:00:00,32,34,38,6.21,55,1,"Jan 03, 08:00",1,Fertile,All parameters optimal,Continue current practices,FERTILE - Excellent condition
2026-01-03 09:00:00,39,38,52,6.58,78,0,"Jan 03, 09:00",0,Not Fertile,Moisture is HIGH (78/30),Soil moisture optimal range: 30-70% water holding capacity.,NOT FERTILE - Action needed
